Author,Type,Study,Domain,Domain_short,Risk_Type
Ramage,Replication,"Habib et al., 2019",Performance bias: blinding,D5,Unclear
Ramage,Replication,"Habib et al., 2019",Detection bias: random outcome assessment,D6,Unclear
Ramage,Replication,"Habib et al., 2019",Detection bias: blinding,D7,Low
Ramage,Replication,"Habib et al., 2019",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Replication,"Habib et al., 2019",Reporting bias: selective outcome reporting,D9,High
Ramage,Original,"Habib et al., 2019",Selection bias: sequence generation,D1,Unclear
Ramage,Replication,"Habib et al., 2019",Selection bias: sequence generation,D1,Unclear
Ramage,Original,"Habib et al., 2019",Other sources of bias,D10,Low
Ramage,Original,"Habib et al., 2019",Selection bias: baseline characteristics,D2,Low
Ramage,Original,"Habib et al., 2019",Selection bias: allocation concealment,D3,Unclear
Ramage,Original,"Habib et al., 2019",Performance bias: random housing,D4,High
Ramage,Original,"Habib et al., 2019",Performance bias: blinding,D5,High
Ramage,Original,"Habib et al., 2019",Detection bias: random outcome assessment,D6,High
Ramage,Original,"Habib et al., 2019",Detection bias: blinding,D7,High
Ramage,Original,"Habib et al., 2019",Attrition bias: incomplete outcome data,D8,High
Ramage,Original,"Habib et al., 2019",Reporting bias: selective outcome reporting,D9,Low
Vojvodic,Replication,Hahn 2011,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Hahn 2011,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Hahn 2011,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Hahn 2011,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Hahn 2011,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Hahn 2011,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Hahn 2011,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Hahn 2011,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Replication,Hahn 2011,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Hahn 2011,Other sources of bias,D10,High
Vojvodic,Original,Hahn 2011,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Hahn 2011,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Hahn 2011,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Original,Hahn 2011,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Hahn 2011,Performance bias: blinding,D5,High
Vojvodic,Original,Hahn 2011,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Hahn 2011,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Hahn 2011,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Original,Hahn 2011,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Hahn 2011,Other sources of bias,D10,Unclear
Ramage,Original,"HJ et al., 2018",Selection bias: sequence generation,D1,Unclear
Ramage,Replication,"HJ et al., 2018",Selection bias: sequence generation,D1,Unclear
Ramage,Original,"HJ et al., 2018",Other sources of bias,D10,Low
Ramage,Original,"HJ et al., 2018",Selection bias: baseline characteristics,D2,Low
Ramage,Original,"HJ et al., 2018",Selection bias: allocation concealment,D3,Unclear
Ramage,Original,"HJ et al., 2018",Performance bias: random housing,D4,High
Ramage,Original,"HJ et al., 2018",Performance bias: blinding,D5,High
Ramage,Original,"HJ et al., 2018",Detection bias: random outcome assessment,D6,High
Ramage,Original,"HJ et al., 2018",Detection bias: blinding,D7,High
Ramage,Original,"HJ et al., 2018",Attrition bias: incomplete outcome data,D8,High
Ramage,Original,"HJ et al., 2018",Reporting bias: selective outcome reporting,D9,Low
Ramage,Replication,"HJ et al., 2018",Other sources of bias,D10,Unclear
Ramage,Replication,"HJ et al., 2018",Selection bias: baseline characteristics,D2,Unclear
Ramage,Replication,"HJ et al., 2018",Selection bias: allocation concealment,D3,Unclear
Ramage,Replication,"HJ et al., 2018",Performance bias: random housing,D4,Unclear
Ramage,Replication,"HJ et al., 2018",Performance bias: blinding,D5,Unclear
Ramage,Replication,"HJ et al., 2018",Detection bias: random outcome assessment,D6,Unclear
Ramage,Replication,"HJ et al., 2018",Detection bias: blinding,D7,Unclear
Ramage,Replication,"HJ et al., 2018",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Replication,"HJ et al., 2018",Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Hoda 2013,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Hoda 2013,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Hoda 2013,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Hoda 2013,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Hoda 2013,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Hoda 2013,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Hoda 2013,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Hoda 2013,Attrition bias: incomplete outcome data,D8,Low
Vojvodic,Replication,Hoda 2013,Other sources of bias,D10,Low
Vojvodic,Original,Hoda 2013,Selection bias: sequence generation,D1,High
Vojvodic,Original,Hoda 2013,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Hoda 2013,Selection bias: allocation concealment,D3,Low
Vojvodic,Original,Hoda 2013,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Hoda 2013,Performance bias: blinding,D5,Low
Vojvodic,Original,Hoda 2013,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Hoda 2013,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Hoda 2013,Attrition bias: incomplete outcome data,D8,Low
Vojvodic,Original,Hoda 2013,Reporting bias: selective outcome reporting,D9,Low
Vojvodic,Original,Hoda 2013,Other sources of bias,D10,Unclear
Vojvodic,Replication,Hoda 2013,Reporting bias: selective outcome reporting,D9,Unclear
Vojvodic,Replication,Kitagawa 2018,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Kitagawa 2018,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Kitagawa 2018,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Kitagawa 2018,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Kitagawa 2018,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Kitagawa 2018,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Kitagawa 2018,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Kitagawa 2018,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Replication,Kitagawa 2018,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Kitagawa 2018,Other sources of bias,D10,Unclear
Vojvodic,Original,Kitagawa 2018,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Kitagawa 2018,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Kitagawa 2018,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Original,Kitagawa 2018,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Kitagawa 2018,Performance bias: blinding,D5,Unclear
Vojvodic,Original,Kitagawa 2018,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Kitagawa 2018,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Kitagawa 2018,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Original,Kitagawa 2018,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Kitagawa 2018,Other sources of bias,D10,Unclear
Vojvodic,Replication,Kong 2013,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Kong 2013,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Kong 2013,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Kong 2013,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Kong 2013,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Kong 2013,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Kong 2013,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Kong 2013,Attrition bias: incomplete outcome data,D8,High
Vojvodic,Replication,Kong 2013,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Kong 2013,Other sources of bias,D10,Unclear
Vojvodic,Original,Kong 2013,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Kong 2013,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Kong 2013,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Original,Kong 2013,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Kong 2013,Performance bias: blinding,D5,High
Vojvodic,Original,Kong 2013,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Kong 2013,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Kong 2013,Attrition bias: incomplete outcome data,D8,High
Vojvodic,Original,Kong 2013,Reporting bias: selective outcome reporting,D9,Low
Vojvodic,Original,Kong 2013,Other sources of bias,D10,High
Vojvodic,Replication,Liang 2018,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Liang 2018,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Liang 2018,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Liang 2018,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Liang 2018,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Liang 2018,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Liang 2018,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Liang 2018,Attrition bias: incomplete outcome data,D8,High
Vojvodic,Replication,Liang 2018,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Liang 2018,Other sources of bias,D10,High
Vojvodic,Original,Liang 2018,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Liang 2018,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Liang 2018,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Original,Liang 2018,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Liang 2018,Performance bias: blinding,D5,Unclear
Vojvodic,Original,Liang 2018,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Liang 2018,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Liang 2018,Attrition bias: incomplete outcome data,D8,High
Vojvodic,Original,Liang 2018,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Liang 2018,Other sources of bias,D10,Unclear
Vojvodic,Replication,Liu 2014,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Liu 2014,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Liu 2014,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Liu 2014,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Liu 2014,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Liu 2014,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Liu 2014,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Liu 2014,Attrition bias: incomplete outcome data,D8,High
Vojvodic,Replication,Liu 2014,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Liu 2014,Other sources of bias,D10,Unclear
Vojvodic,Original,Liu 2014,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Liu 2014,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Liu 2014,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Original,Liu 2014,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Liu 2014,Performance bias: blinding,D5,High
Vojvodic,Original,Liu 2014,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Liu 2014,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Liu 2014,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Original,Liu 2014,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Liu 2014,Other sources of bias,D10,Unclear
Vojvodic,Replication,Liu 2018,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Liu 2018,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Liu 2018,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Liu 2018,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Liu 2018,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Liu 2018,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Liu 2018,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Liu 2018,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Replication,Liu 2018,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Liu 2018,Other sources of bias,D10,Unclear
Vojvodic,Original,Liu 2018,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Liu 2018,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Liu 2018,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Original,Liu 2018,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Liu 2018,Performance bias: blinding,D5,High
Vojvodic,Original,Liu 2018,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Liu 2018,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Liu 2018,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Original,Liu 2018,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Liu 2018,Other sources of bias,D10,Unclear
Vojvodic,Replication,Liu 2019,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Liu 2019,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Liu 2019,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Liu 2019,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Liu 2019,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Liu 2019,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Liu 2019,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Liu 2019,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Replication,Liu 2019,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Liu 2019,Other sources of bias,D10,High
Vojvodic,Original,Liu 2019,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Liu 2019,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Liu 2019,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Original,Liu 2019,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Liu 2019,Performance bias: blinding,D5,High
Vojvodic,Original,Liu 2019,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Liu 2019,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Liu 2019,Attrition bias: incomplete outcome data,D8,High
Vojvodic,Original,Liu 2019,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Liu 2019,Other sources of bias,D10,High
Ramage,Original,"Liu et al., 2020",Selection bias: sequence generation,D1,Unclear
Ramage,Replication,"Liu et al., 2020",Selection bias: sequence generation,D1,Unclear
Ramage,Original,"Liu et al., 2020",Other sources of bias,D10,Low
Ramage,Original,"Liu et al., 2020",Selection bias: baseline characteristics,D2,Low
Ramage,Original,"Liu et al., 2020",Selection bias: allocation concealment,D3,Unclear
Ramage,Original,"Liu et al., 2020",Performance bias: random housing,D4,High
Ramage,Original,"Liu et al., 2020",Performance bias: blinding,D5,High
Ramage,Original,"Liu et al., 2020",Detection bias: random outcome assessment,D6,High
Ramage,Original,"Liu et al., 2020",Detection bias: blinding,D7,High
Ramage,Original,"Liu et al., 2020",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Original,"Liu et al., 2020",Reporting bias: selective outcome reporting,D9,Low
Ramage,Replication,"Liu et al., 2020",Other sources of bias,D10,Low
Ramage,Replication,"Liu et al., 2020",Selection bias: baseline characteristics,D2,Unclear
Ramage,Replication,"Liu et al., 2020",Selection bias: allocation concealment,D3,Unclear
Ramage,Replication,"Liu et al., 2020",Performance bias: random housing,D4,Unclear
Ramage,Replication,"Liu et al., 2020",Performance bias: blinding,D5,Unclear
Ramage,Replication,"Liu et al., 2020",Detection bias: random outcome assessment,D6,Unclear
Ramage,Replication,"Liu et al., 2020",Detection bias: blinding,D7,Unclear
Ramage,Replication,"Liu et al., 2020",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Replication,"Liu et al., 2020",Reporting bias: selective outcome reporting,D9,Unclear
Ramage,Original,"Lu et al., 2022",Selection bias: sequence generation,D1,Unclear
Ramage,Replication,"Lu et al., 2022",Selection bias: sequence generation,D1,Unclear
Ramage,Original,"Lu et al., 2022",Other sources of bias,D10,Low
Ramage,Original,"Lu et al., 2022",Selection bias: baseline characteristics,D2,Low
Ramage,Original,"Lu et al., 2022",Selection bias: allocation concealment,D3,Unclear
Ramage,Original,"Lu et al., 2022",Performance bias: random housing,D4,High
Ramage,Original,"Lu et al., 2022",Performance bias: blinding,D5,High
Ramage,Original,"Lu et al., 2022",Detection bias: random outcome assessment,D6,Low
Ramage,Original,"Lu et al., 2022",Detection bias: blinding,D7,High
Ramage,Original,"Lu et al., 2022",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Original,"Lu et al., 2022",Reporting bias: selective outcome reporting,D9,Low
Ramage,Replication,"Lu et al., 2022",Other sources of bias,D10,High
Ramage,Replication,"Lu et al., 2022",Selection bias: baseline characteristics,D2,Low
Ramage,Replication,"Lu et al., 2022",Selection bias: allocation concealment,D3,Unclear
Ramage,Replication,"Lu et al., 2022",Performance bias: random housing,D4,Unclear
Ramage,Replication,"Lu et al., 2022",Performance bias: blinding,D5,Unclear
Ramage,Replication,"Lu et al., 2022",Detection bias: random outcome assessment,D6,Unclear
Ramage,Replication,"Lu et al., 2022",Detection bias: blinding,D7,Unclear
Ramage,Replication,"Lu et al., 2022",Attrition bias: incomplete outcome data,D8,Low
Ramage,Replication,"Lu et al., 2022",Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Ma 2013,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Ma 2013,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Ma 2013,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Ma 2013,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Ma 2013,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Ma 2013,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Ma 2013,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Ma 2013,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Replication,Ma 2013,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Ma 2013,Other sources of bias,D10,Unclear
Vojvodic,Original,Ma 2013,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Ma 2013,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Ma 2013,Selection bias: allocation concealment,D3,High
Vojvodic,Original,Ma 2013,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Ma 2013,Performance bias: blinding,D5,High
Vojvodic,Original,Ma 2013,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Ma 2013,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Ma 2013,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Original,Ma 2013,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Ma 2013,Other sources of bias,D10,Low
Gallas-Lopes,Replication,"Mahmoud, 2017",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Replication,"Mahmoud, 2017",Selection bias: baseline characteristics,D2,Low
Gallas-Lopes,Replication,"Mahmoud, 2017",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Replication,"Mahmoud, 2017",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Replication,"Mahmoud, 2017",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Replication,"Mahmoud, 2017",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Replication,"Mahmoud, 2017",Detection bias: blinding,D7,Unclear
Gallas-Lopes,Replication,"Mahmoud, 2017",Attrition bias: incomplete outcome data,D8,Unclear
Gallas-Lopes,Replication,"Mahmoud, 2017",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Replication,"Mahmoud, 2017",Other sources of bias,D10,Unclear
Gallas-Lopes,Original,"Mahmoud, 2017",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Original,"Mahmoud, 2017",Selection bias: baseline characteristics,D2,Unclear
Gallas-Lopes,Original,"Mahmoud, 2017",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Original,"Mahmoud, 2017",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Original,"Mahmoud, 2017",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Original,"Mahmoud, 2017",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Original,"Mahmoud, 2017",Detection bias: blinding,D7,Unclear
Gallas-Lopes,Original,"Mahmoud, 2017",Attrition bias: incomplete outcome data,D8,Unclear
Gallas-Lopes,Original,"Mahmoud, 2017",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Original,"Mahmoud, 2017",Other sources of bias,D10,Low
Gallas-Lopes,Replication,"Majidi, 2016",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Replication,"Majidi, 2016",Selection bias: baseline characteristics,D2,Low
Gallas-Lopes,Replication,"Majidi, 2016",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Replication,"Majidi, 2016",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Replication,"Majidi, 2016",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Replication,"Majidi, 2016",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Replication,"Majidi, 2016",Detection bias: blinding,D7,Low
Gallas-Lopes,Replication,"Majidi, 2016",Attrition bias: incomplete outcome data,D8,Low
Gallas-Lopes,Replication,"Majidi, 2016",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Replication,"Majidi, 2016",Other sources of bias,D10,Unclear
Gallas-Lopes,Original,"Majidi, 2016",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Original,"Majidi, 2016",Selection bias: baseline characteristics,D2,Unclear
Gallas-Lopes,Original,"Majidi, 2016",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Original,"Majidi, 2016",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Original,"Majidi, 2016",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Original,"Majidi, 2016",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Original,"Majidi, 2016",Detection bias: blinding,D7,Unclear
Gallas-Lopes,Original,"Majidi, 2016",Attrition bias: incomplete outcome data,D8,Unclear
Gallas-Lopes,Original,"Majidi, 2016",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Original,"Majidi, 2016",Other sources of bias,D10,High
Gallas-Lopes,Replication,"McKim, 2016",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Replication,"McKim, 2016",Selection bias: baseline characteristics,D2,Unclear
Gallas-Lopes,Replication,"McKim, 2016",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Replication,"McKim, 2016",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Replication,"McKim, 2016",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Replication,"McKim, 2016",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Replication,"McKim, 2016",Detection bias: blinding,D7,Unclear
Gallas-Lopes,Replication,"McKim, 2016",Attrition bias: incomplete outcome data,D8,Unclear
Gallas-Lopes,Replication,"McKim, 2016",Reporting bias: selective outcome reporting,D9,Unclear
Gallas-Lopes,Replication,"McKim, 2016",Other sources of bias,D10,Unclear
Gallas-Lopes,Original,"McKim, 2016",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Original,"McKim, 2016",Selection bias: baseline characteristics,D2,Unclear
Gallas-Lopes,Original,"McKim, 2016",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Original,"McKim, 2016",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Original,"McKim, 2016",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Original,"McKim, 2016",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Original,"McKim, 2016",Detection bias: blinding,D7,Unclear
Gallas-Lopes,Original,"McKim, 2016",Attrition bias: incomplete outcome data,D8,Low
Gallas-Lopes,Original,"McKim, 2016",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Original,"McKim, 2016",Other sources of bias,D10,High
Ramage,Replication,"Mietelska-Porowska et al., 2019",Other sources of bias,D10,Low
Ramage,Replication,"Mietelska-Porowska et al., 2019",Selection bias: baseline characteristics,D2,Unclear
Ramage,Replication,"Mietelska-Porowska et al., 2019",Selection bias: allocation concealment,D3,Unclear
Ramage,Replication,"Mietelska-Porowska et al., 2019",Performance bias: random housing,D4,Unclear
Ramage,Replication,"Mietelska-Porowska et al., 2019",Performance bias: blinding,D5,High
Ramage,Replication,"Mietelska-Porowska et al., 2019",Detection bias: random outcome assessment,D6,Unclear
Ramage,Replication,"Mietelska-Porowska et al., 2019",Detection bias: blinding,D7,High
Ramage,Replication,"Mietelska-Porowska et al., 2019",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Replication,"Mietelska-Porowska et al., 2019",Reporting bias: selective outcome reporting,D9,High
Ramage,Original,"Mietelska-Porowska et al., 2019",Selection bias: sequence generation,D1,Unclear
Ramage,Replication,"Mietelska-Porowska et al., 2019",Selection bias: sequence generation,D1,Unclear
Ramage,Original,"Mietelska-Porowska et al., 2019",Other sources of bias,D10,Low
Ramage,Original,"Mietelska-Porowska et al., 2019",Selection bias: baseline characteristics,D2,Low
Ramage,Original,"Mietelska-Porowska et al., 2019",Selection bias: allocation concealment,D3,Unclear
Ramage,Original,"Mietelska-Porowska et al., 2019",Performance bias: random housing,D4,High
Ramage,Original,"Mietelska-Porowska et al., 2019",Performance bias: blinding,D5,High
Ramage,Original,"Mietelska-Porowska et al., 2019",Detection bias: random outcome assessment,D6,High
Ramage,Original,"Mietelska-Porowska et al., 2019",Detection bias: blinding,D7,High
Ramage,Original,"Mietelska-Porowska et al., 2019",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Original,"Mietelska-Porowska et al., 2019",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Replication,"Molina-Hernandez, 2008a",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Replication,"Molina-Hernandez, 2008a",Selection bias: baseline characteristics,D2,Unclear
Gallas-Lopes,Replication,"Molina-Hernandez, 2008a",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Replication,"Molina-Hernandez, 2008a",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Replication,"Molina-Hernandez, 2008a",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Replication,"Molina-Hernandez, 2008a",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Replication,"Molina-Hernandez, 2008a",Detection bias: blinding,D7,Low
Gallas-Lopes,Replication,"Molina-Hernandez, 2008a",Attrition bias: incomplete outcome data,D8,High
Gallas-Lopes,Replication,"Molina-Hernandez, 2008a",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Replication,"Molina-Hernandez, 2008a",Other sources of bias,D10,Low
Gallas-Lopes,Replication,"Molina-Hernandez, 2008b",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Replication,"Molina-Hernandez, 2008b",Selection bias: baseline characteristics,D2,Unclear
Gallas-Lopes,Replication,"Molina-Hernandez, 2008b",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Replication,"Molina-Hernandez, 2008b",Performance bias: random housing,D4,Unclear
